FaultName,FaultID,State,SiteName,SCECId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM7ObjectName,Observation,PrefRate,LowRate,HighRate,RateUnct,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,UCERF3AppB,ShortReferences,Links,FullReferences
Black Rock,1010,NV,Trench 1,S-0225,SR-0443,-119.052088264000,40.846311869700,90.23,N/A,offset tephra bed ~4m dated at between 18-25 ka at trench with 3 recorded events,0.19,0.16,0.22,unknown,unprojected (vertical),reinterpreted (low = 4m/25 ka; high = 4m/18ka; pref = 4m/21.5ka (average)),offset tephra beds,regional correlations,3?,18-25,0,0.2,no,Dodge (1982); USGS Qfault page,N/A; N/A,"Dodge, R.L., 1982, Seismic and geomorphic history of the Black Rock fault zone, northwest Nevada: Golden, Colorado School of Mines T-2593, unpublished Ph.D. dissertation, 271 p., scale 1:24,000."
Blackwater,17,CA,per Oskin and Iriondo (2004),S-0007,SR-0014,-117.199882570000,35.207467722800,0.04,MJVA-BWFZ-MULT-Blackwater_fault-CFM5,"Long term, well-constrained rate.",0.49,0.09,0.89,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),basalt flow,Ar-Ar,unlisted,>2600,0.2,1,yes,Oskin and Iriondo (2008); USGS QFFD,https://doi.org/10.1130/G20223.1; N/A,"Oskin, M., and Iriondo, A. (2004). Large-magnitude transient strain accumulation on the Blackwater fault,Eastern California Shear Zone: Geology, v. 32, p. 313-316. https://doi.org/10.1130/G20223.1"
Breckenridge,21,CA,Oak Tree,S-0008,SR-0017,-118.546044716000,35.431154929500,1.43,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,"Small total displacements suggest a limited number of events. Authors note consistency of rates over ~68 and ~35 ky timescales. Authors dated three surfaces, ~68 ka surface displaced 7 m, 35 ka surface displaced 4 m, and ~12 ka surface is undeformed.",0.1,0,0.2,unknown,unprojected (vertical),reported (author reported slip and age information; Appendix B calculates rate from data),fan,10Be,2?,11-130,0,0.2,yes,Brossy et al. (2010),N/A,"Brossy, C.C., Baldwin, J.N., Kelson, K.I., Rood, D.H., Kozlowicz, B., Simpson, D., Ticci, M., Amos, C.B., Kozaci, O., Lutz, A. (2010). Late Pleistocene displacement and slip rate for the Breckenridge fault, Walker Basin, southern Sierra Nevada, California [abs.]: Eos (American Geophysical Union Transactions), Fall meeting supplement, v. 91, abs. EP53B-0612."
Butte Mountains,1017,NV,Profile 1-4 midpoint,S-0226,SR-0450,-115.310254354000,39.752355162800,336.14,N/A,scarp heights ranging from 0.95-4.4 m tall estimated to be 18-25 ka,0.12,0.038,0.24,unknown,unprojected (vertical),reinterpreted (low = 0.95m/25 ka; high = 4.4 m/18ka; pref (averages) = 2.7 m/21.75ka),scarp heights,scarp morphology/diffusion estimation,2?,18-25,0,0.2,no,Koehler and Wesnousky (2011),https://doi.org/10.1130/B30111.1,"Koehler, R. D., & Wesnousky, S. G. (2011). Late Pleistocene regional extension rate derived from earthquake geology of late Quaternary faults across the Great Basin, Nevada, between 38.5 N and 40 N latitude. GSA Bulletin, 123(3-4), 631-650. https://doi.org/10.1130/B30111.1"
Calaveras (north),923,CA,Leyden Creek,S-0011,SR-0427,-121.837849335000,37.510026987600,0.26,SFBY-NCRH-MULT-Calaveras-CFM7,See Kelson and others (1996).,5,3,7,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),terrace riser,unlisted,unlisted,11-130,5,35,yes,Kelson et al. (1996),https://doi.org/10.1029/95JB02244,"Kelson, K.I., Simpson, G.D., Lettis, W.R., and Haraden, C.C., 1996, Holocene slip rate and recurrence of the northern Calaveras fault at Leyden Creek, eastern San Francisco Bay region: Journal of Geophysical Research, v. 101, no. B3, p. 5961-5975. https://doi.org/10.1029/95JB02244"
Calaveras (north),923,CA,Welch Creek,S-0009,SR-0425,-121.849707174000,37.534806319700,0.18,SFBY-NCRH-MULT-Calaveras-CFM7,See Simpson and others (1999).,N/A,3,8,unknown,lateral,reported (author reported rate as recorded in Appendix B),terrace back edge,C14,unlisted,1-11,5,35,no,Simpson et al. (1999),https://doi.org/10.1785/BSSA0890051250,"Simpson, G.D., Baldwin, J.N., Kelson, K.I., and Lettis, W.R. (1999). Late Holocene slip rate and earthquake history for the northern Calaveras fault at Welch Creek, eastern San Francisco Bay area, California: Bulletin of the Seismological Society of America, v. 89, no. 5 p. 1250-1263. https://doi.org/10.1785/BSSA0890051250"
Calaveras (north),923,CA,Welch Creek,S-0010,SR-0426,-121.849707174000,37.534806319700,0.18,SFBY-NCRH-MULT-Calaveras-CFM7,Offset measurement based on an isopach map of a buried debris flow.,N/A,5,6,unknown,lateral,reported (author reported rate as recorded in Appendix B),buried debris flow,C14,unlisted,1-11,5,35,no,Simpson et al. (1999),https://doi.org/10.1785/BSSA0890051250,"Simpson, G.D., Baldwin, J.N., Kelson, K.I., and Lettis, W.R. (1999). Late Holocene slip rate and earthquake history for the northern Calaveras fault at Welch Creek, eastern San Francisco Bay area, California: Bulletin of the Seismological Society of America, v. 89, no. 5 p. 1250-1263. https://doi.org/10.1785/BSSA0890051250"
Calaveras (south),921,CA,San Ysidro Channel 1,S-0013,SR-0424,-121.488520552000,37.024073507800,0.5,SFBY-NCRH-MULT-Calaveras-CFM7,Preferred reported rate of Kelson and others (1998) is a composite rate from the four offset channels.,14,11,19,unknown,projected (right-lateral),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),buried channel,unlisted,unlisted,1-11,5,35,yes,Kelson et al. (1998),N/A,"Kelson, K.I., Baldwin, J.N., and Randolph, C.E., 1998, Late Holocene slip rate and amounts of coseismic rupture along the Central Calaveras fault, San Francisco Bay Area, California: Technical report to U.S. Geological Survey, National Earthquake Hazards Reduction Program Final Technical Report, Reston, Virginia, under Contract 1434-HQ-97-GR-03151, 26 p."
"Calaveras (south, Paicines)",920,CA,Winfield Ranch,S-0012,SR-0423,-121.305739529000,36.746809384600,0.07,SFBY-NCRH-MULT-Calaveras-CFM7,"Slip rate is only one of several strands, so rate may be a minimum for the fault zone.",N/A,9,35,unknown,lateral,reported (author reported rate as recorded in Appendix B; reported as '>9 mm/yr' so 9 mm/yr is the 'LowRate' cell here),terrace riser,C14,unlisted,11-130,5,35,yes,Perkins and Sims (1988); Bryant and Cluett (1999),N/A; https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=54&section_id=d ,"Perkins, J.A., and Sims, J.D., 1988, Late Quaternary slip along Calaveras fault near Hollister, California: Eos, Transactions of the American Geophysical Union, v. 69, no. 44, p. 1420.; Bryant, W.A., and Cluett, S.E., compilers, 1999, Fault number 54d, Calaveras fault zone, Paicines section, in Quaternary fault and fold database of the United States: U.S. Geological Survey Web site, accessed July 7, 2023, at https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=54&section_id=d"
Calico - Hidalgo,26,CA,Sheep Creek Wash,S-0014,SR-0021,-116.596793123000,34.753291762100,0.54,MJVA-CHFZ-MULT-Calico_Hidalgo_fault-CFM5,Oskin and others (2007) try to account for warping and report slip rate could be as high as 2.1 +/- 0.5 mm/yr.,1.4,1,1.8,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,"Ar - Ar, 3He",?,130-750,0.2,1,yes,Oskin et al. (2007),https://doi.org/10.1029/2006JB004451,"Oskin, M., Perg, L., Blumentritt, D., Mukhopadhyay, S., and Iriondo, A., 2007, Slip rate of the Calico fault-Implications for geologic versus geodetic rate discrepancy in the Eastern California shear zone: Journal of Geophysical Research, v. 112, https://doi.org/10.1029/2006JB004451"
Calico - Hidalgo,26,CA,Sheep Creek Wash,S-0015,SR-0022,-116.596793123000,34.753291762100,0.54,MJVA-CHFZ-MULT-Calico_Hidalgo_fault-CFM5,Oskin and others (2007) try to account for warping and report slip rate could be as high as 2.1 +/- 0.5 mm/yr.,1.8,1.5,2.6,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate with additional comment that max rate could be as high as 2.6 mm/yr),offset fan,10Be,?,11-130,1,5,yes,Oskin et al. (2007),https://doi.org/10.1029/2006JB004451,"Oskin, M., Perg, L., Blumentritt, D., Mukhopadhyay, S., and Iriondo, A., 2007, Slip rate of the Calico fault-Implications for geologic versus geodetic rate discrepancy in the Eastern California shear zone: Journal of Geophysical Research, v. 112, https://doi.org/10.1029/2006JB004451"
Camp Rock,27,CA,per Oskin and others (2008),S-0016,SR-0023,-116.750699187000,34.711392665300,0.3,MJVA-CREC-CMPR-Camp_Rock_fault-CFM5,"Reported rate is a maximum. Cosmogenic date on Q2a surface (Oskin and others, 2008).",1.4,0.8,2,reported rate is a maximum- may influence shape of distribution,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,10Be,unlisted,11-130,0.2,1,yes,Oskin et al. (2008),https://doi.org/10.1130/G24814A.1,"Oskin, M, Perg, L., Shelef,E., Strane, M., Gurney, E., Singer, B., and Zhang, X., 2008, Elevated shear zone loading rate during an earthquake cluster in eastern California: Geology, v. 36, no. 6; p. 507-510, https://doi.org/10.1130/G24814A.1 "
Cedar Mountain - Mahogany Mountain,31,CA,south of Antelope Sink,S-0017,SR-0024,-121.919179373000,41.647010577600,1.15,KLMT-CDMZ-CDMT-West_Cedar_Mountain-CFM7,Assumed Tioga age deposits vertically offset 2 m. One of several strands makes this a minimum. Reported rate appears too uncertain to assign a UCERF3 site slip rate.,N/A,0.2,1,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as '>0.2 mm/yr' so 0.2 mm/yr is the 'LowRate' cell here),unlisted,correlation,1? (low scarp),unlisted,0.2,1,yes,Bryant (1990a),N/A,"Bryant, W.A., 1990a, Stephens Pass fault and faults in the Butte Valley area, Siskiyou County: California Division of Mines and Geology Fault Evaluation Report FER-210."
Clan Alpine,1023,NV,Florence Canyon,S-0228,SR-0456,-117.851299945000,39.501454883800,171.14,N/A,7m of vertical displacement of alluvial fan dated at 130-250 ka,0.04,0.03,0.05,unknown,unprojected (vertical),reported (pref = 7 m/190 ka (average of ages)),alluvial fan,relative interpretations,1-2 (?),130 -250,0,0.2,no,"Machette et al, (2005)",https://pubs.usgs.gov/sim/2005/2891/,"Machette, Michael N., Kathleen M. Haller, Cal A. Ruleman, Shannon A. Mahan, and Koji Okumura. (2005) ""Scientific Investigations Map 2891."" https://pubs.usgs.gov/sim/2005/2891/ "
Clan Alpine,1023,NV,Star Canyon,S-0229,SR-0457,-117.843898568000,39.527308102300,172.17,N/A,19.4 m vertical scarp height within surface estimated to be 130-250 ka,0.1,0.08,0.15,unknown,unprojected (vertical),reported (pref = 19.4 m/190 ka (average of ages)),scarp height,relative/interpretative,unknown,130-250,0,0.2,no,dePolo (1989),N/A,"DePolo, C. M. (1989). Seismotectonics of the White Mountains fault system, east-central California and west-central Nevada (Doctoral dissertation, University of Nevada, Reno)."
Cleghorn,39,CA,Meisling (1984),S-0018,SR-0029,-117.370408289000,34.289300325100,0.13,ETRA-CLGZ-SCHS-Cleghorn_fault-CFM5,"Previous rates reported by Meisling (1984) are based on a terrace age miscorrelation (Weldon, 2012). Qt1 is likely 500 ka and Qt2 is 60 ka.",N/A,0.3,0.6,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,terrace correlation,unlisted,11-130,0.2,1,yes,Meisling (1984); Weldon (2012),https://thesis.library.caltech.edu/282/; N/A,"Meisling, K.E., 1984, Neotectonics of the north frontal fault system of the San Bernardino Mountains, southern California; Cajon Pass to Lucerne Valley: California Institute of Technology, unpub. Ph.D. dissertation, plates 1A and B, scale 1:24,000. https://thesis.library.caltech.edu/282/; Weldon, R.J., 2012, Cedar Springs Dam Report: prepared for the California Department of Water Resources, 15 p."
Collayomi,42,CA,per Clark and others (1984),S-0019,SR-0032,-122.801131620000,38.899380892000,0.05,SFBY-CYFZ-CLYV-Collayomi-CFM7,"Clark and others (1984) note the offset is poorly constrained and ""critical evidence is covered by landslide and colluvium"".",N/A,0,1,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),rhyolite flow,unlisted,unlisted,130-750,0.2,1,yes,Clark et al. (1984),https://doi.org/10.3133/ofr84106,"Clark, M.M., Harms, K.K., Lienkaemper, J.J., Harwood, D.S., Lajoie, K.R., Matti, J.C., Perkins, J.A., Rymer, M.J., Sarna-Wojcicki, A.M., Sharp, R.V., Sims, J.D., Tinsley, J.C., III, and Ziony, J.I., 1984, Preliminary slip rate table and map of late Quaternary faults of California: U.S. Geological Survey Open-File Report 84-106, 12 p., 5 plates, scale 1:1,000,000. https://doi.org/10.3133/ofr84106 "
Compton,43,CA,Stanford Ave,S-0020,SR-0034,-118.263000000000,33.965000000000,2.33,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,"Based on cumulative uplift, thickening of section from borehole data across backlimb of Compton thrust. Assumed fault dip is 28 +/- 3 degrees. Rate is reported as a minimum, although the authors note that given various factors, they think the rate is close to the actual fault slip rate.",0.9,0.3,1.4,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),growth strata,radiocarbon,unlisted,1-15,1,5,yes,Leon et al. (2009),https://doi.org/10.1029/2008JB006129,"Leon, L. A., Dolan, J. F., Shaw, J. H., and Pratt, T. L. (2009),Evidence for large Holocene earthquakes on the Compton thrust fault, Los Angeles, California, J. Geophys. Res., 114, B12305, https://doi.org/10.1029/2008JB006129"
Concord,44,CA,Galindo Creek,S-0021,SR-0035,-122.030664576000,37.966494199600,0.12,SFBY-CNGV-MULT-Concord_Green_Valley-CFM7,"This rate is a maximum and shorter term rate, based on longer projections and assumptions regarding channel geometry.",N/A,1,5.4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as '<5.4 mm/yr' so 5.4 mm/yr is the 'HighRate' cell here),offset buried channel,C14,unlisted,1-11,1,5,yes,Borchart et al. (1999),https://www.researchgate.net/publication/275045106_Holocene_slip_rate_of_the_Concord_fault_at_Galindo_Creek_in_Concord_California,"Borchardt, G.S., and Wills, C.J, 1999, Holocene slip rate of the Concord Fault at Galindo Creek in Concord, California: U. S. Geological Survey, Library, Reston, Va., National Earthquake Hazards Program, final technical report, 30 p. https://www.researchgate.net/publication/275045106_Holocene_slip_rate_of_the_Concord_fault_at_Galindo_Creek_in_Concord_California"
Concord,44,CA,Galindo Creek,S-0022,SR-0036,-122.030664576000,37.966494199600,0.12,SFBY-CNGV-MULT-Concord_Green_Valley-CFM7,Reported geologic rate is similar to creep rate.,3.4,3.1,3.7,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset buried channel,C14,unlisted,1-11,1,5,yes,Borchart et al. (1999),https://www.researchgate.net/publication/275045106_Holocene_slip_rate_of_the_Concord_fault_at_Galindo_Creek_in_Concord_California,"Borchardt, G.S., and Wills, C.J, 1999, Holocene slip rate of the Concord Fault at Galindo Creek in Concord, California: U. S. Geological Survey, Library, Reston, Va., National Earthquake Hazards Program, final technical report, 30 p. https://www.researchgate.net/publication/275045106_Holocene_slip_rate_of_the_Concord_fault_at_Galindo_Creek_in_Concord_California"
Cucamonga,59,CA,Day Canyon,S-0023,SR-0041,-117.533663985000,34.169213569300,0.41,WTRA-SMFZ-CCMG-Cucamonga_fault-CFM5,numerous scarp profiles in intensive uncertainty analysis,1.2,1,1.4,1 standard deviation reported; error in reported rate is with assumed fault dip of 33 deg),projected (dip-slip),reported,surface offsets,CRN reinterpreted from Lindvall and Rubin (2006),unknown,38 +/- 2,1,5,no,McPhillips and Scharer (2018),https://doi.org/10.1029/2018JB016301,"McPhillips, D., & Scharer, K. M. (2018). Quantifying uncertainty in cumulative surface slip along the Cucamonga Fault, a crustal thrust fault in southern California. Journal of Geophysical Research: Solid Earth, 123(10), 9063-9083. https://doi.org/10.1029/2018JB016301"
Cucamonga,59,CA,Day Canyon,S-0024,SR-0042,-117.531938154000,34.169091443200,0.42,WTRA-SMFZ-CCMG-Cucamonga_fault-CFM5,"Revised scarp profiling and cosmo dates for the Day Canyon fan site of Morton and Matti (1987). Lindvall and Rubin (2007) report a significantly lower slip rate than Morton and Matti (1987) based on new dating. They also report a rate of 1.9 +/- 0.5 mm/yr, assuming a 32 degree fault dip.",1.1,1,1.2,unknown,vertical,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan surface,10Be,unlisted,11-130,1,5,yes,Lindvall and Rubin (2007),https://earthquake.usgs.gov/cfusion/external_grants/reports/03HQGR0084.pdf,"Lindvall, S.C., and Rubin, C.M., 2007, Slip rate studies along the Sierra Madre-Cucamonga Fault system using geomorphic and cosmogenic surface exposure age constraints: U.S. Geological Survey Final Technical Report Award Number 03HQGR0084, 13 p. https://earthquake.usgs.gov/cfusion/external_grants/reports/03HQGR0084.pdf"
Death Valley (Black Mountains),62,CA,Badwater,S-0027,SR-0047,-116.769494505000,36.227197684300,0.78,BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,6.4 +/- 0.6 m of verical offset of fan surface dated at 4.5 +/- 1.2 ka yields vertical slip rate of 1.4 +0.5/-0.3 mm/yr; pref horizontal slip rate from 60 deg dip,0.8,0.6,1.1,unknown,projected (right-lateral),reported (see table 4),alluvial fan,luminesence,unknown,4.5 +/- 0.6,1,5,no,Frankel et al (2016) Lithosphere,https://doi.org/10.1130/L464.1,"Frankel, K. L., Owen, L. A., Dolan, J. F., Knott, J. R., Lifton, Z. M., Finkel, R. C., & Wasklewicz, T. (2016). Timing and rates of Holocene normal faulting along the Black Mountains fault zone, Death Valley, USA. Lithosphere, 8(1), 3-22. https://doi.org/10.1130/L464.1"
Death Valley (Black Mountains),62,CA,Mormon Point Canyon,S-0026,SR-0046,-116.757118463000,36.061053299700,0.26,BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,4.3 +/- 0.6 m of vertical offset across alluvial fan dated at 7.0 +/- 1.1 ka yields slip rate of 0.6 +/- 0.1 mm/yr with 30 deg favored dip brings 1.0 +/- 0.2 mm/yr horizontal slip rate,1,0.8,1.2,unknown,projected (right-lateral),reported,alluvial fan,luminesence,unknown,7.0 +/- 1.1,1,5,no,"Frankel et al., (2016) Lithosphere",https://doi.org/10.1130/L464.1,"Frankel, K. L., Owen, L. A., Dolan, J. F., Knott, J. R., Lifton, Z. M., Finkel, R. C., & Wasklewicz, T. (2016). Timing and rates of Holocene normal faulting along the Black Mountains fault zone, Death Valley, USA. Lithosphere, 8(1), 3-22. https://doi.org/10.1130/L464.1"
