Fault Name,NSHM23 Fault ID,State,Site Name,CPD ID,NSHM23 Slip Rate ID,Longitude,Latitude,Distance To Nearest CFM Fault (km),CFM6.0 Object Name,Data Type,Observation,Preferred Rate,Low Rate,High Rate,Rate Uncertainty,Rate Type,ReptReint,Offset Type,Age Type,Num Events,Rate Age,Qbin Min,Qbin Max,References,UCERF3 AppB
Calaveras (north),923,CA,Leyden Creek,S-0011,SR-0427,-121.837849335000,37.510026987600,150.92,N/A,slip rate study,See Kelson and others (1996).,5,3,7,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),terrace riser,unlisted,unlisted,11-130,5,35,Kelson and others (1996),yes
"Calaveras (south, Paicines)",920,CA,Winfield Ranch,S-0012,SR-0423,-121.305739529000,36.746809384600,59.93,N/A,slip rate study,"Slip rate is only one of several strands, so rate may be a minimum for the fault zone.",N/A,9,35,unknown,lateral,reported (author reported rate as recorded in Appendix B; reported as '>9 mm/yr' so 9 mm/yr is the 'LowRate' cell here),terrace riser,C14,unlisted,11-130,5,35,Perkins and Sims (1988); Bryant and Cluett (1999),yes
Calaveras (south),921,CA,San Ysidro Channel 1,S-0013,SR-0424,-121.488520552000,37.024073507800,93.04,N/A,slip rate study,Preferred reported rate of Kelson and others (1998) is a composite rate from the four offset channels.,14,11,19,unknown,projected (right-lateral),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),buried channel,unlisted,unlisted,1-11,5,35,Kelson and others (1998),yes
Calico - Hidalgo,26,CA,Sheep Creek Wash,S-0014,SR-0021,-116.596793123000,34.753291762100,0.55,MJVA-CHFZ-MULT-Calico_Hidalgo_fault-CFM5,slip rate study,Oskin and others (2007) try to account for warping and report slip rate could be as high as 2.1 +/- 0.5 mm/yr.,1.4,1,1.8,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,"Ar - Ar, 3He",?,130-750,0.2,1,Oskin and others (2007),yes
Calico - Hidalgo,26,CA,Sheep Creek Wash,S-0015,SR-0022,-116.596793123000,34.753291762100,0.55,MJVA-CHFZ-MULT-Calico_Hidalgo_fault-CFM5,slip rate study,Oskin and others (2007) try to account for warping and report slip rate could be as high as 2.1 +/- 0.5 mm/yr.,1.8,1.5,2.6,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate with additional comment that max rate could be as high as 2.6 mm/yr),offset fan,10Be,?,11-130,1,5,Oskin and others (2007),yes
Camp Rock,27,CA,per Oskin and others (2008),S-0016,SR-0023,-116.750699187000,34.711392665300,0.3,MJVA-CREC-CMPR-Camp_Rock_fault-CFM5,slip rate study,"Reported rate is a maximum.  Cosmogenic date on Q2a surface (Oskin and others, 2008).",1.4,0.8,2,reported rate is a maximum- may influence shape of distribution,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,10Be,unlisted,11-130,0.2,1,Oskin and others (2008),yes
Cedar Mountain - Mahogany Mountain,31,CA,south of Antelope Sink,S-0017,SR-0024,-121.919179373000,41.647010577600,579.27,N/A,slip rate study,Assumed Tioga age deposits vertically offset 2 m.  One of several strands makes this a minimum. Reported rate appears too uncertain to assign a UCERF3 site slip rate.,N/A,0.2,1,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as '>0.2 mm/yr' so 0.2 mm/yr is the 'LowRate' cell here),unlisted,correlation,1? (low scarp),unlisted,0.2,1,Bryant (1990a),yes
Cleghorn,39,CA,Meisling (1984),S-0018,SR-0029,-117.370408289000,34.289300325100,0.13,ETRA-CLGZ-SCHS-Cleghorn_fault-CFM5,slip rate study,"Previous rates reported by Meisling (1984) are based on a terrace age miscorrelation (Weldon, 2012).  Qt1 is likely 500 ka and Qt2 is 60 ka.",N/A,0.3,0.6,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,terrace correlation,unlisted,11-130,0.2,1,Meisling (1984); Weldon (2012),yes
Collayomi,42,CA,per Clark and others (1984),S-0019,SR-0032,-122.801131620000,38.899380892000,319.97,N/A,slip rate study,"Clark and others (1984) note the offset is poorly constrained and ""critical evidence is covered by landslide and colluvium"".",N/A,0,1,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),rhyolite flow,unlisted,unlisted,130-750,0.2,1,Clark and others (1984),yes
Compton,43,CA,Stanford Ave,S-0020,SR-0034,-118.263000000000,33.965000000000,2.33,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,slip rate study,"Based on cumulative uplift, thickening of section from borehole data across backlimb of Compton thrust.  Assumed fault dip is 28 +/- 3 degrees.  Rate is reported as a minimum, although the authors note that given various factors, they think the rate is cl",0.9,0.3,1.4,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),growth strata,radiocarbon,unlisted,1-15,1,5,Leon and others (2009),yes
Concord,44,CA,Galindo Creek,S-0021,SR-0035,-122.030664576000,37.966494199600,203.25,N/A,slip rate study,"This rate is a maximum and shorter term rate, based on longer projections and assumptions regarding channel geometry.",N/A,1,5.4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as '<5.4 mm/yr' so 5.4 mm/yr is the 'HighRate' cell here),offset buried channel,C14,unlisted,1-11,1,5,Borchart and others (1999),yes
Concord,44,CA,Galindo Creek,S-0022,SR-0036,-122.030664576000,37.966494199600,203.25,N/A,slip rate study,Reported geologic rate is similar to creep rate.,3.4,3.1,3.7,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset buried channel,C14,unlisted,1-11,1,5,Borchart and others (1999),yes
Cucamonga,59,CA,Day Canyon,S-0023,SR-0041,-117.533663985000,34.169213569300,0.41,WTRA-SMFZ-CCMG-Cucamonga_fault-CFM5,slip rate study,numerous scarp profiles in intensive uncertainty analysis,1.2,1,1.4,1 standard deviation reported; error in reported rate is with assumed fault dip of 33 deg),projected (dip-slip),reported,surface offsets,CRN reinterpreted from Lindvall and Rubin (2006),unknown,38 +/- 2,1,5,McPhillips and Scharer (2018) JGR,no
Cucamonga,59,CA,Day Canyon,S-0024,SR-0042,-117.531938154000,34.169091443200,0.42,WTRA-SMFZ-CCMG-Cucamonga_fault-CFM5,slip rate study,Revised scarp profiling and cosmo dates for the Day Canyon fan site of Morton and Matti (1987).  Lindvall and Rubin (2007) report a significantly lower slip rate than Morton and Matti (1987) based on new dating.  They also report a rate of 1.9+/- 0.5 mm,1.1,1,1.2,unknown,vertical,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan surface,10Be,unlisted,11-130,1,5,Lindvall and Rubin (2007),yes
Death Valley (Black Mountains),62,CA,Willow Creek,S-0025,SR-0045,-116.736354282000,36.076242096800,0.81,BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,slip rate study,Vertical slip rate reported by Klinger and Piety (2001).  Age control based on soil development.,N/A,1,3,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,soil development,unlisted,1-11,1,5,Klinger and Piety (2001),yes
Death Valley (Black Mountains),62,CA,Mormon Point Canyon,S-0026,SR-0046,-116.757118463000,36.061053299700,0.26,BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,slip rate study,4.3 +/- 0.6 m of vertical offset across alluvial fan dated at 7.0 +/- 1.1 ka yields slip rate of 0.6 +/- 0.1 mm/yr with 30 deg favored dip brings 1.0 +/- 0.2 mm/yr horizontal slip rate,1,0.8,1.2,unknown,projected (right-lateral),reported,alluvial fan,luminesence,unknown,7.0 +/- 1.1,1,5,"Frankel et al., (2016) Lithosphere",no
Death Valley (Black Mountains),62,CA,Badwater,S-0027,SR-0047,-116.769494505000,36.227197684300,0.78,BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,slip rate study,6.4 +/- 0.6 m of verical offset of fan surface dated at 4.5 +/- 1.2 ka yields vertical slip rate of 1.4 +0.5/-0.3 mm/yr; pref horizontal slip rate from 60 deg dip,0.8,0.6,1.1,unknown,projected (right-lateral),reported (see table 4),alluvial fan,luminesence,unknown,4.5 +/- 0.6,1,5,Frankel et al (2016) Lithosphere,no
Death Valley (Fish Lake Valley),63,CA,Furnace Creek Fan,S-0028,SR-0050,-118.010939076000,37.567448627900,43.68,N/A,slip rate study,"Rate based on cosmogenic dating.  Rate is within reported range of 1.5 - 9.3 mm/yr reported by Reheis and Sawyer 1997, based on soil development. Reported as a minimum.",3.1,2.7,3.5,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,10Be,unlisted,11-130,1,5,Frankel and others (2007b); Ganev and others (2010),yes
Death Valley (Fish Lake Valley),63,CA,Furnace Creek Fan,S-0029,SR-0051,-118.010939076000,37.567448627900,43.68,N/A,slip rate study,"Vertical component, reported by Ganev and others (2010). Reported extension rate 0.1+/- 0.1mm/yr.",0.1,0.09,0.11,unknown,extension,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,10Be,unlisted,11-130,1,5,Ganev and others (2010),yes
Death Valley (north),64,CA,Red Wall Canyon,S-0030,SR-0053,-117.260595468000,36.879818601100,0.88,BNRA-NDVZ-MULT-Northern_Death_Valley_fault-CFM2,slip rate study,"Site supersedes previous rate reported by Klinger and Piety of 5 - 12 mm/yr, due to new radiometric dates reported by Frankel, and better LiDAR-based offset measurements.",4.5,3.1,6.1,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,cosmo,unlisted,11-130,1,5,Frankel and others (2007a),yes
Deep Springs,66,CA,Deep Springs College,S-0031,SR-0055,-117.967622545000,37.373065224400,29.12,N/A,slip rate study,Vertical offset based on reconstruction of cross section taken across fault at Deep Springs College.  Reported extension rate of 0.7 mm/yr.,0.9,0.2,1,unknown,vertical,reported (only preferred value listed in Appendix B no uncertainty included),stratigraphic marker,correlation to Bishop tuff,unlisted,130-750,0.2,1,Lee and others (2001),yes
Elsinore (Coyote Mountains),840,CA,Coyote Mountains (general),S-0032,SR-0394,-116.046004855000,32.794239533400,0.46,PNRA-ELSZ-CYMT-Elsinore_fault-CFM4,slip rate study,offset alluvial fans at 130 +30/-40 m in Q6jk surface dated at 64.2 +/- 1.5 ka,2.03,1.37,2.55,unknown (age uncertainty = 95%CI),projected (vertical),reported,alluvial fans,U series,unknown,64.2 +/- 1.5,1,5,"Rockwell et al., (2017) Geomorphology",no
Elsinore (Coyote Mountains),840,CA,Alverson Canyon,S-0033,SR-0395,-116.022435142000,32.785263008400,0.25,PNRA-ELSZ-CYMT-Elsinore_fault-CFM4,slip rate study,"Preferred slip rate based on weighted mean of two individual slip rates (1.8+/- 0.7 mm/yr, past 46.1+/- 5.3 ka; 1.5+/- 0.5 mm/yr, past 39.1+/- 5.3 ky). Fletcher and others. (2011) notes slip rates increase rapidly to north along same section.",1.5,1,1.5,unknown,horizontal,reported (select younger of two time intervals (39.1 +/- 5.3 ka to present) given the relative constancy of slip rates yet capturing more recent yet long term record of faulting,offset fan,Th/U,unlisted,11-130,1,5,Fletcher and others (2011),yes
Elsinore (Glen Ivy),844,CA,Wild Rose Ranch,S-0034,SR-0409,-117.492697998000,33.768640539300,0.23,PNRA-ELSZ-GLIV-Glen_Ivy_North_fault-CFM4,slip rate study,Q3 surface,N/A,1,17,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as '<17 mm/yr' so 17 mm/yr is the 'HighRate' cell here),offset fan,soil development,unlisted,?,1,5,Millman and Rockwell (1986),yes
Elsinore (Glen Ivy),844,CA,Wild Rose Ranch,S-0035,SR-0410,-117.492697998000,33.768640539300,0.23,PNRA-ELSZ-GLIV-Glen_Ivy_North_fault-CFM4,slip rate study,Q8 surface,N/A,3,5.9,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,soil development,unlisted,130-750,1,5,Millman and Rockwell (1986),yes
Elsinore (Glen Ivy),844,CA,Wild Rose Ranch,S-0036,SR-0411,-117.492697998000,33.768640539300,0.23,PNRA-ELSZ-GLIV-Glen_Ivy_North_fault-CFM4,slip rate study,Q6 surface,N/A,4.8,7.2,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,soil development,unlisted,11-130,1,5,Millman and Rockwell (1986),yes
Elsinore (Glen Ivy),844,CA,Wild Rose Ranch,S-0037,SR-0412,-117.492697998000,33.768640539300,0.23,PNRA-ELSZ-GLIV-Glen_Ivy_North_fault-CFM4,slip rate study,Synthesis of rates over different Late Pleistocene time intervals.  See individual rates below.,N/A,5.3,5.9,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,soil development,unlisted,11-130,1,5,Millman and Rockwell (1986),yes
Elsinore (Glen Ivy),844,CA,Wild Rose Ranch,S-0038,SR-0413,-117.492697998000,33.768640539300,0.23,PNRA-ELSZ-GLIV-Glen_Ivy_North_fault-CFM4,slip rate study,Q7 surface,N/A,5.3,7.1,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,soil development,unlisted,11-130,1,5,Millman and Rockwell (1986),yes
Elsinore (Julian),841,CA,Pauma Valley Shutter Ridge,S-0039,SR-0396,-116.973115310000,33.335347065100,0.41,PNRA-ELSZ-JULN-Elsinore_fault_Wildomar_link-CFM4,slip rate study,Near north end of fault section.,4.6,2.4,6.8,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),drainage,soil development,unlisted,11-130,1,5,Vaughan and Rockwell (1986),no
Elsinore (Temecula),842,CA,Strath terrace (Q6 - Q7),S-0040,SR-0397,-117.014517733000,33.367525366300,0.41,PNRA-ELSZ-JULN-Elsinore_fault_Wildomar_link-CFM4,slip rate study,Site coordinates approximate.,3.65,2.95,4.35,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),terrace,unlisted,unlisted,130-750,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Shoup beheaded (Q7),S-0041,SR-0398,-117.033935035000,33.395661180000,0.17,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,Site coordinates approximate.,2.5,1.4,2.6,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),channel,unlisted,unlisted,130-750,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Magee North (Q6),S-0042,SR-0399,-117.033935035000,33.395661180000,0.17,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,Site coordinates approximate.,2.5,1.2,3.8,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),geomorphic surface,unlisted,unlisted,11-130,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Watson (Q7),S-0043,SR-0400,-117.041010173000,33.405625571600,0.09,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,Site coordinates approximate.,2.55,1.45,3.65,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),geomorphic surface,unlisted,unlisted,130-750,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Lodge abandoned channel (Q6 - Q7),S-0044,SR-0401,-117.024974845000,33.383443875200,0.09,PNRA-ELSZ-JULN-Elsinore_fault_Wildomar_link-CFM4,slip rate study,Site coordinates approximate.,2.95,2.4,3.5,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),channel,unlisted,unlisted,130-750,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Watson (Q7),S-0045,SR-0402,-117.041010173000,33.405625571600,0.09,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,Site coordinates approximate.,3.2,1.8,4.6,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),geomorphic surface,unlisted,unlisted,130-750,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Shoup beheaded (Q6),S-0046,SR-0403,-117.038389304000,33.401934739300,0.03,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,Site coordinates approximate.,3.5,1.8,5.2,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),channel,unlisted,unlisted,11-130,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Watson stacked (Q4 - Q5)),S-0047,SR-0404,-117.041010173000,33.405625571600,0.09,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,Site coordinates approximate.,4.6,2.3,6.9,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),geomorphic surface,unlisted,unlisted,11-130,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Watson (Q5 - Q6)),S-0048,SR-0405,-117.041010173000,33.405625571600,0.09,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,Site coordinates approximate.,4.9,3.2,6.6,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),geomorphic surface,unlisted,unlisted,11-130,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Magee North (Q5),S-0049,SR-0406,-117.033935035000,33.395661180000,0.17,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,Site coordinates approximate.,6,1.65,10.35,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),geomorphic surface,unlisted,unlisted,11-130,1,5,Vaughan and Rockwell (1986),yes
Elsinore (Temecula),842,CA,Water Tank Q7,S-0050,SR-0407,-117.044154446000,33.410053001200,0.08,PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,slip rate study,"Q7 surface, Trujillo Creek",2.95,1,4.9,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),geomorphic surface,unlisted,unlisted,130-750,1,5,Vaughan and Rockwell (1986),yes
Elysian Park (upper),77,CA,per Oskin,S-0051,SR-0066,-118.181047510000,34.064260737400,0.1,WTRA-PHTS-LABS-Upper_Elysian_Park_fault-CFM1,slip rate study,"Oskin and others (2000) calculate slip rates for 45 - 60 degree dip.   Offset is contraction (shortening) on Qyl surface.  U-TH date is 72 +/- 2 ka, soil estimate is 50-80 ka.  Bullard and Lettis (1993) previously document lower 0.1 - 0.25 mm/yr Quaternar",N/A,0.2,1,unknown,projected (dip-slip),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),geomorphic surface,"U-TH, soil development",unlisted,11-130,0.2,1,Oskin and others (2000),yes
Fickle Hill,80,CA,per McCrory,S-0052,SR-0070,-124.065367586000,40.874088271400,563.96,N/A,slip rate study,"McCrory (1996, 2000) reinterprets the marine terrace age assignments of Kelsey and Carver (1988) and Carver and others (1986) and assigns the lowest terrace and age of 125 ka, rather than 83 ka.  The reported slip rate is based on a fault dip of 25 degre",0.7,0.2,1,unknown,projected (dip-slip),reported (only preferred value listed in Appendix B no uncertainty included),marine terrace,correlation,unlisted,11-130,0.2,1,McCrory (1996); McCrory (2000),yes
Fickle Hill,80,CA,per McCrory,S-0053,SR-0072,-124.006255411000,40.805829505200,555.02,N/A,slip rate study,"McCrory (1996, 2000) recalculates the rate reported by Kelsey and Carver (1988).  The reported slip rate is based on a fault dip of 25 degrees.",1,0.8,1.2,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),stratigraphic marker,correlation,unlisted,750-2600,0.2,1,McCrory (1996); McCrory (2000),yes
Fish Lake Valley,1170,CA,Indian Creek Fan,S-0054,SR-0048,-118.185475635000,37.784226347100,62.17,N/A,slip rate study,Multiple features (four channels) matched to estimate offset. Reported as a minimum. Rate is within reported range reported by Reheis and Sawyer (1997).,2.5,2.1,2.9,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,10Be,unlisted,11-130,1,5,Frankel and others (2007b); Reheis and Sawyer (1997),yes
Fish Lake Valley,1170,CA,Indian Creek Fan,S-0055,SR-0049,-118.185475635000,37.784226347100,62.17,N/A,slip rate study,"Vertical component, reported by Ganev and others (2010).  Reported extension rate 0.5 +0.2, -0.1 mm/yr",0.5,0.4,0.7,unknown,extension,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,10Be,unlisted,11-130,1,5,Ganev and others (2010),yes
Fish Slough,81,CA,per Bryant,S-0056,SR-0073,-118.396429655000,37.488892877100,28.7,N/A,slip rate study,"Bryant (1984) describes estimates of total displacement based on geomorphology, a consulting report, and a cross section by Bateman (1965).",0.2,0.2,1,unknown,net (vertical + right-lateral),reported (only preferred value listed in Appendix B no uncertainty included),Bishop tuff,correlation,unlisted,130-750,0.2,1,Bryant (1984); Bateman (1965),yes
Garlock (center),881,CA,Christmas Canyon West,S-0057,SR-0416,-117.400308295000,35.515824034300,0.3,GRFS-GRFZ-EAST-Garlock_fault-CFM5,slip rate study,26.0 + 3.5/-2.5 m left lateral offset of microtopo in alluvium since 1.860 +/- 0.150 ky before 2013,14,12.2,16.2,quadrature,projected (strike-slip),reported,alluvial fan deposits,luminescence,4,1.860 +/- 0.15,5,35,"Dolan et al., (2016) EPSL",no
Garlock (center),881,CA,Koehn Lake,S-0058,SR-0417,-117.850770551000,35.371716994600,0.15,GRFS-GRFZ-EAST-Garlock_fault-CFM5,slip rate study,Offset beach bar from lake highstand.,N/A,5,8,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset beach bar,C14,unlisted,11-130,5,35,Clark and others (1984),yes
Garlock (center),881,CA,Searles Valley,S-0059,SR-0418,-117.264665817000,35.544866290000,0.23,GRFS-GRFZ-EAST-Garlock_fault-CFM5,slip rate study,"Reported slip rate is based on two offset features.  The maximum rate of 11 mm/yr is based on an offset shoreline (82 - 106 (90) m), dated between 10 k.y. and 13 k.y. A post-highstand channel is offset 68 m, provides the minimum rate.",N/A,4,9,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset shoreline,C14,unlisted,11-130,5,35,McGill and Sieh (1991),yes
